Supply and demand series;;;;;;;;;;;;;;;;;;;;;;
Argentina - Production;;;;;;;;;;;;;;;;;;;;;;
;Oil;Natural gas;Coal;Hydroenergy;Nuclear;Firewood;Sugarcane and products;"Other Primary
";Total Primaries;Electricity;LPG;Gasoline/alcohol;Kerosene/jet fuel;Diesel oil;Fuel oil;Coke;Charcoal;Gases;Other secondary;Non-energy;Total Secundaries;Total
;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal;10¹² cal
1992;;102164,67;636,99;;;3373,16;4391,40;7159,99;117726,21;38570,62;13147,62;57183,89;11642,54;69336,23;5745,21;815,99;1621,47;2644,99;2000,00;12849,99;215558,55;333284,77
1993;;114017,06;524,99;;;4010,35;5172,71;7210,00;130935,10;41484,44;13293,83;59788,46;11450,18;74149,94;6657,14;204,00;2394,32;1903,60;300,00;14020,00;225645,92;356581,02
1994;;120748,34;224,00;;;3740,35;5673,20;6150,01;136535,90;44522,06;13358,15;57602,68;9990,04;80977,26;5699,61;156,40;1780,16;1945,45;3490,00;15229,99;234751,79;371287,69
1995;;124989,66;357,00;;;3514,63;6920,00;6085,53;141866,82;47453,66;14071,68;57807,73;8353,93;86957,65;3538,32;312,80;2118,26;1648,55;3550,01;13440,00;239252,58;381119,41
1996;;124931,65;;;;3615,61;6780,00;5671,74;140999,00;50321,17;14323,17;58319,59;7929,71;91239,59;5730,99;39,98;2133,64;2845,70;2909,99;16220,01;252013,56;393012,56
1997;;130459,39;106,78;;;3568,65;7528,30;6250,00;147913,11;54208,06;15083,49;56521,04;6912,49;96334,42;6657,16;95,20;1545,59;2870,30;6550,00;17590,00;264367,74;412280,85
1998;;132293,64;178,64;;;3944,29;8309,60;6042,05;150768,22;58538,39;16241,50;55678,84;7326,59;101061,69;5043,03;499,99;1642,17;2798,50;3870,01;17930,00;270630,69;421398,91
1999;;138792,52;367,78;;;4139,95;7971,61;6450,08;157721,93;60949,61;15978,31;49541,69;7809,12;99436,96;3447,13;496,40;2415,02;2717,20;2950,00;19830,00;265571,43;423293,36
2000;;147918,12;393,33;;;2712,86;8395,40;3950,17;163369,88;64618,95;16456,48;36501,05;12390,01;83138,52;9468,86;1889,92;2034,67;;2507,08;20147,82;249153,35;412523,23
2001;;147496,50;;;;2134,29;8650,00;3291,81;161572,60;65571,11;15628,34;33802,58;12885,37;92335,14;9538,92;2644,23;2109,33;;1386,82;21443,31;257345,15;418917,74
2002;;147819,74;;;;2507,14;6130,00;2633,45;159090,33;64392,54;14091,12;27445,82;11051,91;86175,40;7692,27;2603,55;2146,67;;751,65;24001,18;240352,09;399442,42
2003;;161999,31;;;;3310,71;6720,00;1975,09;174005,11;68677,84;15421,31;24371,46;11568,51;89712,30;9183,07;2596,10;2221,33;;3594,79;25310,43;252657,13;426662,24
2004;;167728,22;;;;2728,58;6889,15;2606,72;179952,68;72692,26;17083,94;24741,40;12140,42;95920,22;8470,77;2459,52;2282,90;;3630,05;28416,62;267838,09;447790,76
2005;;179217,87;;;;2928,12;7368,16;1948,36;191462,52;76861,65;16425,39;22875,20;12301,78;103453,65;7740,95;2659,98;2423,46;;4355,22;29541,21;278638,50;470101,01
2006;;183309,60;;;;2829,35;8270,85;1290,00;195699,80;82106,33;16687,51;29193,87;11624,06;108793,16;9579,20;2606,33;2423,48;;3454,68;30356,05;296824,67;492524,47
2007;;194220,03;250,26;;;2822,31;7775,76;1289,29;206357,63;85936,15;14983,20;36231,79;12085,70;118461,13;8743,65;3393,45;2371,05;;4558,37;29580,75;316345,24;522702,88
2008;;187468,40;74,89;;;2646,58;8184,86;1289,29;199664,02;90419,15;16103,80;46750,25;12846,78;117055,86;10733,89;3262,80;2529,09;;2673,01;33297,36;335671,98;535336,00
2009;;179460,13;57,75;;;2312,65;7887,21;1289,29;191007,03;90584,28;14385,91;43123,47;12555,60;105526,60;8903,52;3170,37;2651,72;;2992,03;26981,38;310874,88;501881,92
2010;;186167,09;105,94;;;2507,93;6963,23;1289,29;197033,48;95093,19;22927,14;48171,34;14629,84;114604,94;10932,99;3137,23;2628,27;;6061,68;28862,32;347048,93;544082,41
2011;;197028,68;102,94;;;2544,73;7464,35;1289,29;208429,98;99669,49;18233,82;52768,47;14579,27;116990,62;15547,15;3124,98;2839,08;;2229,44;26812,34;352794,65;561224,64
2012;;196444,65;72,11;;;2118,14;7405,14;1289,29;207329,32;101782,64;19421,31;56900,69;14556,05;109460,01;19486,45;3306,97;2529,23;;1977,32;27049,28;356469,96;563799,28
2013;;206710,65;72,31;;;2232,17;6407,10;1289,29;216711,51;103992,92;19776,81;60324,13;14572,96;123143,03;19594,36;3013,25;3074,27;;1649,57;26273,53;375414,83;592126,34
2014;;205682,07;58,98;;;2158,85;7595,72;1289,29;216784,91;108568,68;18887,00;59405,56;14406,27;111113,56;17785,15;2886,06;3209,53;;3036,85;29009,06;368307,71;585092,62
2015;;211184,83;48,44;;;2093,01;6582,76;1289,29;221198,32;111469,99;18719,92;62988,53;14617,74;114246,31;12353,52;2999,14;3350,75;;3904,76;24793,80;369444,46;590642,78
2016;;206854,35;259,15;;;2089,93;7260,54;1289,29;217753,26;113453,12;18978,17;64569,02;15093,04;113334,92;8192,38;3155,36;3007,61;;3608,91;23701,94;367094,46;584847,73
2017;;193935,09;256,57;;;2140,03;8479,68;1289,29;206100,65;110940,48;17824,40;70219,61;15976,53;117350,53;7264,08;3316,60;2844,08;;3740,87;26574,67;376051,84;582152,50
2018;;183345,54;457,92;;;2292,36;9535,03;1289,29;196920,14;110720,52;16751,78;69255,28;17173,18;113854,27;4786,81;3392,10;2825,75;;240,02;32022,24;371021,95;567942,09
2019;;194604,36;431,11;;;2297,17;9214,36;1289,29;207836,28;108033,44;16549,50;67149,01;17659,81;112691,36;7424,32;3281,06;2876,61;;2496,32;26800,67;364962,11;572798,39
2020;;186992,93;230,72;;;2197,87;6492,33;1289,29;197203,14;107066,36;14883,00;49183,65;5799,56;95618,74;8289,51;2803,79;2847,84;;5908,95;24227,72;316629,12;513832,26
2021;;188344,75;285,82;;;2155,87;7992,46;1289,29;200068,19;110996,26;18733,00;64846,89;6211,04;112991,24;10579,81;3333,28;2887,71;;3768,26;26575,45;360922,94;560991,14
;;;;;;;;;;;;;;;;;;;;;;
Source: sieLAC-OLADE;;;;;;;;;;;;;;;;;;;;;;
Wednesday, July 5, 2023 4:04:10 AM;;;;;;;;;;;;;;;;;;;;;;
